person,date,custom_sleep_score,number_of_meals,avg_meal_interval,workout
x1,3/1/2025,57.44680851,6,2.4,1
x1,3/3/2025,80.85106383,7,3.666666667,1
x1,3/4/2025,68.08510638,6,2.4,1
x1,3/6/2025,68.08510638,6,2.4,1
x1,3/7/2025,57.44680851,7,3.666666667,1
x1,3/8/2025,10.63829787,6,4.4,0
x1,3/9/2025,57.44680851,5,2.5,0
x1,3/13/2025,36.17021277,6,2.4,1
x1,3/14/2025,74.46808511,6,3.6,1
x1,3/15/2025,78.72340426,4,6.666666667,1
x1,3/16/2025,0,3,6,1
x1,3/18/2025,21.27659574,5,3,1
x1,3/19/2025,100,5,4.5,0
x1,3/20/2025,34.04255319,5,4,0
x1,3/21/2025,34.04255319,3,11,1
x1,3/22/2025,78.72340426,2,2,1
